,index,dissatisfaction_reason,Quarter,Submitted date,"What was the main purpose of your visit today? Please choose one option only. The list represents broad categories, and you may be asked to further specify the main reason why you visited today.",Approximately how often do you visit My Account?,Overall how satisfied were you with today's experience?,Which option did you choose to login to My Account?,Did/do you need to call the CRA to complete your visit/transaction today?,Are you:,I live in...,What is the highest level of education you have completed?,Would you be willing to indicate in which of the following age categories you belong?,What language do you speak most often at home?,Which of the following categories best describes your current employment status?,"Which of the following categories best represents your most recent annual household income, before taxes?",Are you an Aboriginal person?,Are you a person with a disability?,Are you a member of a visible minority group?,From what type of device did you access My Account today?,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Topic_final,Second_Topic,Third_Topic
4072,64632,I requested a review of my assessment but there’s no status nor any “due date” for getting back to me. It would be helpful to have a up to date status on the reviewing of materials and appeal cases,Q3,12/24/2018,Accounts and payments,Once or twice per year,Somewhat dissatisfied,,No,Female,New Brunswick,Post-graduate degree,35 to 49,English,Working full-time (35+ hours per week),"$120,000 and over",No,No,No,Smartphone,4.0,0.30730000138282776,"information, account, date, look, available, access, wait, tell, instalment, get","['requested', 'review', 'assessment', 'status', 'date', 'get', 'helpful', 'date', 'status', 'review', 'material', 'appeal', 'case']",4.0,3.0,5.0
4073,64633,content is not up to date and has not been for at least 6 months,Q3,12/24/2018,Accounts and payments,Once every 2 to 3 months,Very dissatisfied,,No,Male,British Columbia,Some high school,55 to 64,English,Working full-time (35+ hours per week),"$60,000 to under $80,000",No,No,No,Desktop or laptop computer,4.0,0.3571999967098236,"information, account, date, look, available, access, wait, tell, instalment, get","['content', 'date', 'month']",4.0,5.0,1.0
4074,64644,Did not explain clearly the reason for the amount owing,Q3,12/24/2018,Accounts and payments,Once every 2 to 3 months,Somewhat dissatisfied,,Yes,Female,British Columbia,College/vocational/technical school,55 to 64,English,Working part-time (less than 35 hours per week),"$60,000 to under $80,000",No,No,No,Desktop or laptop computer,4.0,0.5178999900817871,"information, account, date, look, available, access, wait, tell, instalment, get","['explain', 'clearly', 'reason', 'owing']",4.0,8.0,1.0
4075,64646,I find the. Information give a ways to reapond or cintact revenue canada were very vague and obtuse.  The ability to speak with a live revenue cabada agent would benefit both user's and cra department,Q3,12/24/2018,Benefits and tax credits information,Once every 2 to 3 months,Very dissatisfied,,Yes,Male,British Columbia,College/vocational/technical school,35 to 49,English,Working full-time (35+ hours per week),"$20,000 to under $40,000",No,No,No,Smartphone,3.0,0.4523000121116638,"receive, document, site, submit, reassessment, login, email, go, option, letter","['find', 'information', 'way', 'respond', 'contact', 'revenue_canada', 'vague', 'obtuse', 'ability', 'speak', 'live', 'revenue_canada', 'agent', 'benefit', 'user', 'department']",3.0,5.0,4.0
4076,64684,could not file 2017 tax return,Q3,12/24/2018,Tax returns,Once or twice per year,Somewhat dissatisfied,,Prefer not to say,Male,British Columbia,High school graduate,55 to 64,English,Working full-time (35+ hours per week),"$20,000 to under $40,000",No,No,No,Desktop or laptop computer,5.0,0.7678999900817871,"find, tax, change, return, mail, try, month, send, need, year","['file', 'tax', 'return']",5.0,0.0,1.0
4077,64695,Never mind,Q3,12/24/2018,RRSP and TFSA,Prefer not to say,Very dissatisfied,,Prefer not to say,Female,British Columbia,Some high school,18 to 34,English,Prefer not to say,"Under $20,000",Prefer not to say,Yes,Prefer not to say,Smartphone,1.0,0.0714000016450882,"mind, answer_question, user_friendly, repeat, browser, value, mac, multiple, content, misspelling",['mind'],99.0,2.0,6.0
4078,64704,not updated,Q3,12/25/2018,Accounts and payments,Once per month or more,Very dissatisfied,,Prefer not to say,Female,Ontario,College/vocational/technical school,50 to 54,English,Prefer not to say,Prefer not to say,No,No,Yes,Desktop or laptop computer,8.0,0.5357000231742859,"update, payment, pay, online, credit, want, balance, check, owe, show",['update'],8.0,0.0,1.0
4079,64712,I just wanted to change my password but no luck at first try.,Q3,12/25/2018,Your personal information,Once or twice per year,Somewhat dissatisfied,,No,Female,Alberta,High school graduate,65 or older,English,Retired,"$40,000 to under $60,000",No,No,No,Desktop or laptop computer,13.0,0.2678999900817871,"time, say, log, page, error, assessment, ask, work, add, thing","['wanted', 'change_password', 'luck', 'try']",13.0,8.0,5.0
4080,64723,Too hrd to find things and you can't see all of your account details in one spot,Q3,12/25/2018,Accounts and payments,Once or twice per year,Somewhat dissatisfied,,No,Male,I currently live outside of Canada,Post-graduate degree,50 to 54,English,Working full-time (35+ hours per week),"$80,000 to under $100,000",No,No,No,Desktop or laptop computer,4.0,0.41429999470710754,"information, account, date, look, available, access, wait, tell, instalment, get","['find', 'thing', 'account', 'detail', 'spot']",4.0,13.0,5.0
4081,64726,it has been nearly a full year waiting for my NOA and still no information,Q3,12/25/2018,Tax returns,Once per month or more,Very dissatisfied,,Yes,Male,Ontario,College/vocational/technical school,55 to 64,English,Working part-time (less than 35 hours per week),"$20,000 to under $40,000",No,No,No,Desktop or laptop computer,4.0,0.41429999470710754,"information, account, date, look, available, access, wait, tell, instalment, get","['nearly', 'year', 'wait', 'notice_assessment', 'information']",4.0,13.0,5.0
4082,64757,My 2016 tax return reassessment in progress has been there for months now but no action or nothing is being done to update it by a CRA agent,Q3,12/25/2018,Tax returns,Once per month or more,Very dissatisfied,,No,Female,Ontario,University graduate,55 to 64,Other,Working full-time (35+ hours per week),"$60,000 to under $80,000",No,No,No,Desktop or laptop computer,5.0,0.5087000131607056,"find, tax, change, return, mail, try, month, send, need, year","['tax', 'return', 'reassessment', 'progress', 'month', 'action', 'update', 'agent']",5.0,10.0,3.0
4083,64776,Not all the documents I am sent by CRA appear digitally in my account. It's inconsistent to send some notifications by mail and others by email.,Q3,12/25/2018,Submit documents,Once every 2 to 3 months,Somewhat dissatisfied,,Yes,Prefer not to say,British Columbia,University graduate,35 to 49,English,Self-employed,Prefer not to say,No,No,No,Prefer not to say,5.0,0.5634999871253967,"find, tax, change, return, mail, try, month, send, need, year","['document', 'send', 'appear', 'digitally', 'account', 'inconsistent', 'send', 'notification', 'mail', 'email']",5.0,3.0,4.0
4084,64779,my daughter disability tax credit wasnt updated. I wish we could write letters through our accounts to the cra,Q3,12/25/2018,Benefits and tax credits information,Prefer not to say,Somewhat dissatisfied,,Yes,Female,Ontario,Prefer not to say,Prefer not to say,English,Prefer not to say,Prefer not to say,No,Prefer not to say,Prefer not to say,Prefer not to say,8.0,0.30720001459121704,"update, payment, pay, online, credit, want, balance, check, owe, show","['daughter', 'disability', 'tax', 'credit', 'update', 'wish', 'write', 'letter', 'account']",8.0,5.0,4.0
4085,64785,Representative who answered my questions kept saying ‘I’m not trained that area what you are asking,Q3,12/25/2018,Accounts and payments,Once or twice per year,Somewhat dissatisfied,,Yes,Female,Saskatchewan,Some university,35 to 49,English,Working full-time (35+ hours per week),"$40,000 to under $60,000",No,No,Yes,Smartphone,0.0,0.3084000051021576,"answer, question, unclear, issue, people, security_question, taking_long, mark, little, room","['representative', 'answer', 'question', 'keep', 'say', 'train', 'area', 'ask']",0.0,13.0,8.0
4086,64807,I looked at my TFSA in a couple of different windows. None of places allowed me to print my information,Q3,12/25/2018,RRSP and TFSA,This was my first visit,Somewhat dissatisfied,CRA user ID and password,No,Male,Ontario,University graduate,65 or older,English,Retired,"$40,000 to under $60,000",No,,No,Desktop or laptop computer,4.0,0.3840000033378601,"information, account, date, look, available, access, wait, tell, instalment, get","['look', 'tfsa', 'couple', 'different', 'window', 'place', 'allow', 'print', 'information']",4.0,13.0,5.0
4087,64815,Trying to find out when my disability benefit will be paid out,Q3,12/25/2018,Accounts and payments,Once per month or more,Very dissatisfied,,No,Female,British Columbia,Some university,35 to 49,English,Not in the workforce,"$20,000 to under $40,000",No,No,No,Tablet,5.0,0.3452000021934509,"find, tax, change, return, mail, try, month, send, need, year","['try', 'find', 'disability', 'benefit', 'pay']",5.0,8.0,3.0
4088,64825,The content of the letter I received is not clear. I don't know what to do next.,Q3,12/25/2018,Online mail,Once or twice per year,Very dissatisfied,,No,Female,Ontario,University graduate,50 to 54,Other,Working full-time (35+ hours per week),"$60,000 to under $80,000",No,No,No,Desktop or laptop computer,3.0,0.6146000027656555,"receive, document, site, submit, reassessment, login, email, go, option, letter","['content', 'letter', 'receive', 'clear', 'know']",3.0,5.0,0.0
4089,64851,Reassessment failed to take into account instalment credit. It would seem obvious to apply credits before levying penalty interest.,Q3,12/25/2018,Accounts and payments,Once every 2 to 3 months,Somewhat dissatisfied,,Yes,Male,Alberta,Post-graduate degree,55 to 64,English,Working full-time (35+ hours per week),"$120,000 and over",No,No,No,Desktop or laptop computer,8.0,0.3416999876499176,"update, payment, pay, online, credit, want, balance, check, owe, show","['reassessment', 'fail', 'account', 'instalment', 'credit', 'obvious', 'apply', 'credit', 'levy', 'penalty', 'interest']",8.0,4.0,3.0
4090,64885,I am unable to access my most current statement of account and have tried nuemrous times to ammend this problem and also do bet email updates from yorselves after I had now had to wmploy a CPA  again,Q3,12/26/2018,Tax returns,Once per month or more,Very dissatisfied,,Prefer not to say,Male,British Columbia,Post-graduate degree,35 to 49,English,Working full-time (35+ hours per week),"$120,000 and over",No,No,No,Desktop or laptop computer,4.0,0.4072999954223633,"information, account, date, look, available, access, wait, tell, instalment, get","['unable', 'access', 'current', 'statement', 'account', 'try', 'numerous_times', 'amend', 'problem', 'bet', 'email', 'update', 'employ', 'spa']",4.0,5.0,8.0
4091,64910,I was unable to obtain my account balance because of an error code which has been showing up every time I log in,Q3,12/26/2018,Accounts and payments,Once every 2 to 3 months,Somewhat dissatisfied,,No,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,English,Prefer not to say,Prefer not to say,No,No,No,Prefer not to say,8.0,0.3840000033378601,"update, payment, pay, online, credit, want, balance, check, owe, show","['unable', 'obtain', 'account', 'balance', 'error_code', 'show', 'time', 'log']",8.0,13.0,4.0
4092,64913,I had registered my child as dependent and now it is not there and I did not receive my CTC,Q3,12/26/2018,Benefits and tax credits information,Once or twice per year,Somewhat dissatisfied,,Yes,Female,New Brunswick,College/vocational/technical school,18 to 34,English,Not in the workforce,Prefer not to say,No,No,No,Smartphone,3.0,0.5181999802589417,"receive, document, site, submit, reassessment, login, email, go, option, letter","['registered', 'child', 'dependent', 'receive', 'etc']",3.0,5.0,1.0
4093,64966,No record of documents that were sent earlier.  I'll need to phone to verify the documents that I sent were received.,Q3,12/26/2018,Tax returns,Once every 2 to 3 months,Somewhat dissatisfied,,Yes,Male,Alberta,Some university,35 to 49,English,Working full-time (35+ hours per week),"$120,000 and over",No,No,No,Desktop or laptop computer,5.0,0.40709999203681946,"find, tax, change, return, mail, try, month, send, need, year","['record', 'document', 'send', 'earlier', 'need', 'phone', 'verify', 'document', 'send', 'receive']",5.0,3.0,8.0
4094,64967,"I was trying to update the date I changed the province and nowhere could I.find any option as CRA asked me to update it, when u try to send it through mail , it ask u to attach a file,its just a date",Q3,12/26/2018,Submit documents,Once per month or more,Very dissatisfied,,Yes,Male,Prince Edward Island,College/vocational/technical school,18 to 34,English,Working full-time (35+ hours per week),"$20,000 to under $40,000",No,No,No,Smartphone,5.0,0.4713999927043915,"find, tax, change, return, mail, try, month, send, need, year","['try', 'update', 'date', 'change', 'province', 'find', 'option', 'ask', 'update', 'try', 'send', 'mail', 'ask', 'attach', 'file', 'date']",5.0,13.0,8.0
4095,65018,based on my dispute there was a huge amount of work to research to prepare the dispute and based on another dispute filed by my spouse which was done we are looking as several months before resolution,Q3,12/26/2018,Online mail,Once or twice per year,Somewhat dissatisfied,,No,Male,Alberta,High school graduate,65 or older,English,Retired,"$100,000 to under $120,000",No,Yes,Prefer not to say,Desktop or laptop computer,5.0,0.5519999861717224,"find, tax, change, return, mail, try, month, send, need, year","['base', 'dispute', 'huge', 'work', 'research', 'prepare', 'dispute', 'base', 'dispute', 'file', 'spouse', 'look', 'month', 'resolution']",5.0,3.0,13.0
4096,65019,"My final April 23/18 payment of my 2017 account shows in my Statement of Account, but has never been applied to my Notice of Assessment.",Q3,12/26/2018,Accounts and payments,Once or twice per year,Very dissatisfied,,Yes,Male,Ontario,University graduate,65 or older,English,Retired,"$100,000 to under $120,000",No,No,No,Desktop or laptop computer,4.0,0.34130001068115234,"information, account, date, look, available, access, wait, tell, instalment, get","['final', 'april', '23/18', 'payment', 'account', 'show', 'statement', 'account', 'apply', 'notice_assessment']",4.0,13.0,8.0
4097,65029,Everytime going online here in Ipod it’s become error it’s go back me username and password,Q3,12/26/2018,Prefer not to say,,Somewhat dissatisfied,,No,Female,Ontario,College/vocational/technical school,18 to 34,Other,Other,"Under $20,000",No,Prefer not to say,No,Other,13.0,0.2680000066757202,"time, say, log, page, error, assessment, ask, work, add, thing","['overtime', 'go', 'online', 'ipod', 'error', 'username_password']",13.0,3.0,8.0
4098,65032,i could not add my new address - added postal code but my street name was not available to click on,Q3,12/26/2018,Accounts and payments,Once per month or more,Somewhat dissatisfied,,Yes,Male,Saskatchewan,University graduate,55 to 64,English,Working part-time (less than 35 hours per week),"$80,000 to under $100,000",No,No,No,Desktop or laptop computer,13.0,0.4390999972820282,"time, say, log, page, error, assessment, ask, work, add, thing","['add', 'new', 'address', 'add', 'postal_code', 'street', 'available', 'click']",13.0,4.0,5.0
4099,65090,well I couldn't get an answer for my problem.,Q3,12/27/2018,Other,Once or twice per year,Somewhat dissatisfied,,Yes,Male,Ontario,College/vocational/technical school,65 or older,English,Retired,"$60,000 to under $80,000",No,No,No,Desktop or laptop computer,0.0,0.3571999967098236,"answer, question, unclear, issue, people, security_question, taking_long, mark, little, room","['answer', 'problem']",0.0,5.0,1.0
4100,65094,"Differences in amounts owing. One spot says one amount, while another says a different amount. Hard to determine which one is the correct amount owing.",Q3,12/27/2018,Benefits and tax credits information,Once every 2 to 3 months,Very dissatisfied,,No,Female,Ontario,Post-graduate degree,35 to 49,English,Working full-time (35+ hours per week),"$20,000 to under $40,000",No,No,No,Desktop or laptop computer,8.0,0.31859999895095825,"update, payment, pay, online, credit, want, balance, check, owe, show","['difference', 'amount', 'owing', 'spot', 'say', 'say', 'different', 'hard', 'determine', 'correct', 'owing']",8.0,5.0,13.0
4101,65104,"Data isn't up-to-date.  This might be because CRA is terrible at keeping things current, though (as opposed to a limitation with the online access specifically)",Q3,12/27/2018,Accounts and payments,Once per month or more,Very dissatisfied,,Yes,Male,Ontario,Post-graduate degree,55 to 64,English,Retired,"$120,000 and over",No,No,No,Desktop or laptop computer,4.0,0.3840000033378601,"information, account, date, look, available, access, wait, tell, instalment, get","['data', 'date', 'terrible', 'keep', 'thing', 'current', 'oppose', 'limitation', 'online', 'access', 'specifically']",4.0,8.0,13.0
4102,65146,I'm using a mac and the drop down boxes did not work for me preventing me from completing what I wanted to do,Q3,12/27/2018,Submit documents,Once or twice per year,Very dissatisfied,,Yes,Male,British Columbia,University graduate,55 to 64,English,Working part-time (less than 35 hours per week),"$40,000 to under $60,000",No,Yes,No,Desktop or laptop computer,13.0,0.4198000133037567,"time, say, log, page, error, assessment, ask, work, add, thing","['mac', 'drop', 'box', 'work', 'prevent', 'complete', 'want']",13.0,8.0,5.0
4103,65169,Tried to understand why tax refund not direct deposited. Setup is correct but it was still mailed. Why? Hope it works next year!,Q3,12/27/2018,Accounts and payments,Once or twice per year,Somewhat dissatisfied,,No,Female,Ontario,Post-graduate degree,55 to 64,English,Retired,Prefer not to say,No,No,No,Desktop or laptop computer,5.0,0.7071999907493591,"find, tax, change, return, mail, try, month, send, need, year","['try', 'understand', 'tax', 'refund', 'direct', 'deposited', 'setup', 'correct', 'mail', 'hope', 'works', 'year']",5.0,3.0,4.0
4104,65208,"user experience is not very intuitive or efficient on this site. hard to go back one step, i end up having to start the process over from the beginning each time. frustrating, and time-consuming",Q3,12/27/2018,Other,Once or twice per year,Somewhat dissatisfied,,No,Female,Ontario,University graduate,18 to 34,English,Working full-time (35+ hours per week),"$40,000 to under $60,000",No,No,No,Desktop or laptop computer,3.0,0.2793000042438507,"receive, document, site, submit, reassessment, login, email, go, option, letter","['user', 'experience', 'intuitive', 'efficient', 'site', 'hard', 'step', 'end', 'have', 'start', 'process', 'begin', 'time', 'frustrating', 'time_consuming']",3.0,5.0,13.0
4105,65227,I have to login multiple times as the first few times always say there is an error after completing the password and secondary verification correctly.,Q3,12/27/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,Yes,Male,Alberta,College/vocational/technical school,35 to 49,English,Working full-time (35+ hours per week),Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Smartphone,13.0,0.41530001163482666,"time, say, log, page, error, assessment, ask, work, add, thing","['login', 'multiple_times', 'times', 'error', 'complete', 'password', 'secondary', 'verification', 'correctly']",13.0,3.0,5.0
4106,65231,It was annoying trying to log in and then it said I had 2 new messages when I did not.,Q3,12/27/2018,Tax returns,Prefer not to say,Somewhat dissatisfied,,No,Prefer not to say,Ontario,High school graduate,18 to 34,English,Other,"Under $20,000",No,Yes,Prefer not to say,Desktop or laptop computer,13.0,0.5070000290870667,"time, say, log, page, error, assessment, ask, work, add, thing","['annoying', 'trying', 'log', 'say', 'new', 'message']",13.0,4.0,0.0
4107,65242,Was waiting for 2017 Return Re-Assessment to also be done!,Q3,12/28/2018,Benefits and tax credits information,Once per month or more,Somewhat dissatisfied,,Yes,Male,British Columbia,Some high school,35 to 49,English,Working full-time (35+ hours per week),"$20,000 to under $40,000",Yes,No,Prefer not to say,Desktop or laptop computer,5.0,0.2678999900817871,"find, tax, change, return, mail, try, month, send, need, year","['wait', 'return', 'assessment']",5.0,13.0,4.0
4108,65249,"My balance doesn't match what I expected it to be. A payment was dated incorrectly for Dec 24th, even though I sent it from the bank on Dec 21st and was told it would be dated Dec 21st.",Q3,12/28/2018,Accounts and payments,Once every 2 to 3 months,Somewhat dissatisfied,,No,Male,Ontario,University graduate,Prefer not to say,English,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Desktop or laptop computer,4.0,0.5898000001907349,"information, account, date, look, available, access, wait, tell, instalment, get","['balance', 'match', 'expect', 'payment', 'date', 'incorrectly', 'dec', '24th', 'send', 'bank', 'dec', '21st', 'tell', 'date', 'dec', '21st']",4.0,8.0,5.0
4109,65275,My account is not up to date since I sent in my information on me being a primary caregiver for my kids so disappointed in the cra making there disicion saying I don’t have my kids making us suffer,Q3,12/28/2018,Benefits and tax credits information,Once per month or more,Very dissatisfied,,No,Female,Quebec,Prefer not to say,18 to 34,English,"Unemployed, but looking for work","Under $20,000",No,No,No,Smartphone,4.0,0.3840999901294708,"information, account, date, look, available, access, wait, tell, instalment, get","['account', 'date', 'send', 'information', 'primary', 'caregiver', 'kid', 'disappoint', 'make', 'division', 'say', 'kid', 'make', 'suffer']",4.0,8.0,13.0
4110,65287,"it is not today but in the past I have tried to submit documents, received a confirmation number, and these documents seem to disappear in space.  I end up having to call CRA to address the issue",Q3,12/28/2018,Accounts and payments,Once per month or more,Somewhat dissatisfied,,No,Prefer not to say,Ontario,Post-graduate degree,35 to 49,English,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Desktop or laptop computer,3.0,0.2363000065088272,"receive, document, site, submit, reassessment, login, email, go, option, letter","['today', 'past', 'try', 'submit_document', 'receive', 'confirmation', 'number', 'document', 'disappear', 'space', 'end', 'have', 'address', 'issue']",3.0,5.0,13.0
4111,65293,"I had an emailthat I had mail, but couldn't get into my account easily and could not find mail",Q3,12/28/2018,Online mail,Once or twice per year,Very dissatisfied,,Yes,Female,Ontario,Post-graduate degree,65 or older,English,Retired,"$80,000 to under $100,000",No,No,No,Desktop or laptop computer,5.0,0.678600013256073,"find, tax, change, return, mail, try, month, send, need, year","['mailshot', 'mail', 'account', 'easily', 'find', 'mail']",5.0,4.0,0.0
4112,65296,Account information showed Error and no information was available,Q3,12/28/2018,Tax returns,Once every 2 to 3 months,Somewhat dissatisfied,,No,Male,Ontario,Some university,65 or older,English,Retired,"$120,000 and over",No,No,No,Tablet,4.0,0.58160001039505,"information, account, date, look, available, access, wait, tell, instalment, get","['account', 'information', 'show', 'error', 'information', 'available']",4.0,13.0,8.0
4113,65301,I cant understand how the payments work,Q3,12/28/2018,Benefits and tax credits information,Once per month or more,Very dissatisfied,,Yes,Female,Ontario,University graduate,18 to 34,English,Working part-time (less than 35 hours per week),Prefer not to say,No,No,No,Smartphone,8.0,0.2678999900817871,"update, payment, pay, online, credit, want, balance, check, owe, show","['understand', 'payment', 'work']",8.0,13.0,5.0
4114,65302,"CRA reps  cannot  explain their own comments, CRA is power tripping again; cannot get a straight and honest answer from CRA",Q3,12/28/2018,Other,Once or twice per year,Very dissatisfied,,Yes,Female,Saskatchewan,Post-graduate degree,55 to 64,English,Not in the workforce,"Under $20,000",Prefer not to say,Yes,No,Desktop or laptop computer,0.0,0.5508999824523926,"answer, question, unclear, issue, people, security_question, taking_long, mark, little, room","['reps', 'explain', 'comment', 'power', 'trip', 'straight', 'honest', 'answer']",0.0,4.0,1.0
4115,65321,I WOULD VERY MUCH LIKE TO SEE MY NEW MONTHLY CPP/OAS PAYMENT AMOUNTS FOR 2019,Q3,12/28/2018,Prefer not to say,,Somewhat dissatisfied,,Prefer not to say,Male,Ontario,High school graduate,65 or older,English,Retired,"$60,000 to under $80,000",Yes,No,Prefer not to say,Desktop or laptop computer,8.0,0.41440001130104065,"update, payment, pay, online, credit, want, balance, check, owe, show","['new', 'monthly', 'pension_plan', 'payment', 'amount']",8.0,4.0,5.0
4116,65330,"Always get locked out, your verbiage to your mail is completly different, never know if I am paying  in the right place. I haven't received my credit in two years its just sitting there asked/mailout.",Q3,12/28/2018,Accounts and payments,Prefer not to say,Very dissatisfied,,Yes,Prefer not to say,Prefer not to say,Some university,35 to 49,English,Working full-time (35+ hours per week),Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,5.0,0.42260000109672546,"find, tax, change, return, mail, try, month, send, need, year","['locked', 'verbiage', 'mail', 'completely', 'different', 'know', 'pay', 'right', 'place', 'receive', 'credit', 'year', 'sit', 'ask', 'bailout']",5.0,13.0,8.0
4117,65340,"The amount You say I owe is wrong, I should have a refund, The divorce did not change, I still pay the same and so should have refund, But you all are not looking at the info I sent.",Q3,12/28/2018,Accounts and payments,Once per month or more,Very dissatisfied,,No,Male,Alberta,College/vocational/technical school,55 to 64,English,Working full-time (35+ hours per week),"$80,000 to under $100,000",No,Yes,No,Desktop or laptop computer,3.0,0.30720001459121704,"receive, document, site, submit, reassessment, login, email, go, option, letter","['owe', 'wrong', 'refund', 'divorce', 'change', 'pay', 'refund', 'look', 'information', 'send']",3.0,8.0,4.0
4118,65351,Required Repeated logins on multiple browsers due to repeated login failures with CER.010 error code,Q3,12/28/2018,Tax returns,Once every 2 to 3 months,Somewhat dissatisfied,,No,Male,British Columbia,Post-graduate degree,18 to 34,English,Working full-time (35+ hours per week),"$120,000 and over",No,No,No,Desktop or laptop computer,3.0,0.616100013256073,"receive, document, site, submit, reassessment, login, email, go, option, letter","['required', 'repeat', 'login', 'multiple', 'browser', 'repeat', 'login', 'failure', 'error_code']",3.0,8.0,1.0
4119,65366,"Notices of  assessment showed that I owed money,but I paid the balance on the 16th of Dec and the assessment was dated the 24th.",Q3,12/28/2018,Accounts and payments,This was my first visit,Somewhat dissatisfied,"Sign-in Partner (i.e. the same sign-in you use for other online services, e.g. online banking)",No,Male,Ontario,College/vocational/technical school,55 to 64,English,Retired,"$40,000 to under $60,000",No,No,No,Smartphone,8.0,0.4616999924182892,"update, payment, pay, online, credit, want, balance, check, owe, show","['notice', 'assessment', 'show', 'owe', 'money', 'pay', 'balance', '16th', 'dec', 'assessment', 'date', '24th']",8.0,13.0,4.0
4120,65389,Tells me to call instead of giving the info,Q3,12/28/2018,Other,Once or twice per year,Somewhat dissatisfied,,Yes,Female,New Brunswick,College/vocational/technical school,18 to 34,English,Working part-time (less than 35 hours per week),"$40,000 to under $60,000",Yes,No,No,Prefer not to say,4.0,0.41429999470710754,"information, account, date, look, available, access, wait, tell, instalment, get","['tell', 'instead', 'give', 'information']",4.0,13.0,3.0
4121,65391,"I was hoping I would find everything in the site, including my T1.  I also don't understand why I still have an outstanding even if I paid for it in summer.",Q3,12/28/2018,Other,Once or twice per year,Somewhat dissatisfied,,Yes,Female,British Columbia,University graduate,,English,Self-employed,"$60,000 to under $80,000",No,No,No,Desktop or laptop computer,5.0,0.383899986743927,"find, tax, change, return, mail, try, month, send, need, year","['hope', 'find', 'site', 'include', 'understand', 'outstanding', 'pay', 'summer']",5.0,8.0,3.0
4122,65402,It took a ridiculously long time to upload documents when it could have been much easier and faster. CRA seems to delight in making things difficult for people. Really irked and annoyed.,Q3,12/28/2018,Submit documents,Once every 2 to 3 months,Very dissatisfied,,No,Female,British Columbia,Post-graduate degree,35 to 49,English,Other,"$100,000 to under $120,000",No,No,No,Desktop or laptop computer,13.0,0.23000000417232513,"time, say, log, page, error, assessment, ask, work, add, thing","['take', 'ridiculously', 'long', 'time', 'upload_document', 'easy', 'fast', 'delight', 'make', 'thing', 'difficult', 'people', 'irk', 'annoyed']",13.0,8.0,5.0
4123,65408,the login process more often fails than not. The problem seems to be the CHROME  browser. I have had to switch to another browswer to use this site.,Q3,12/28/2018,Accounts and payments,Once or twice per year,Somewhat dissatisfied,,Prefer not to say,Male,Ontario,Some university,65 or older,English,Retired,"$60,000 to under $80,000",No,No,No,Desktop or laptop computer,3.0,0.5593000054359436,"receive, document, site, submit, reassessment, login, email, go, option, letter","['login', 'process', 'fail', 'problem', 'chrome', 'browser', 'switch', 'browser', 'use', 'site']",3.0,5.0,13.0
4124,65438,I tried to upload documents that I was requested and could not do it. I was not able to confirm whether I could do it online or not.,Q3,12/28/2018,Benefits and tax credits information,Once per month or more,Somewhat dissatisfied,,Yes,Female,Ontario,Post-graduate degree,35 to 49,English,Prefer not to say,Prefer not to say,No,No,Prefer not to say,Desktop or laptop computer,5.0,0.3452000021934509,"find, tax, change, return, mail, try, month, send, need, year","['try', 'upload_document', 'request', 'able', 'confirm', 'online']",5.0,13.0,8.0
4125,65440,An updated Statement of Account is NEVER EVER available.  Never.,Q3,12/28/2018,Accounts and payments,Once every 2 to 3 months,Very dissatisfied,,No,Male,Alberta,Post-graduate degree,65 or older,English,Working part-time (less than 35 hours per week),"$120,000 and over",No,No,No,Desktop or laptop computer,4.0,0.614300012588501,"information, account, date, look, available, access, wait, tell, instalment, get","['update', 'statement', 'account', 'available']",4.0,8.0,0.0
4126,65450,"I spent a half hour trying to find the location where I could change receiving mail OAS,CPP T4 slip options... to no avail",Q3,12/29/2018,Other,Once or twice per year,Somewhat dissatisfied,,No,Female,British Columbia,Prefer not to say,65 or older,English,Retired,"Under $20,000",No,No,No,Desktop or laptop computer,5.0,0.5072000026702881,"find, tax, change, return, mail, try, month, send, need, year","['spend', 'half', 'hour', 'try', 'find', 'location', 'change', 'receive', 'mail', 'pension_plan', 'slip', 'option', 'avail']",5.0,3.0,8.0
4127,65466,"I couldn't find the answer to my question. It is difficult when telephone inquiries are not an option, but there is no other way to contact a person when the information needed is not on your website.",Q3,12/29/2018,RRSP and TFSA,Once or twice per year,Somewhat dissatisfied,,Yes,Female,British Columbia,Post-graduate degree,55 to 64,English,Other,"$60,000 to under $80,000",No,No,No,Desktop or laptop computer,4.0,0.3700999915599823,"information, account, date, look, available, access, wait, tell, instalment, get","['find', 'answer_question', 'difficult', 'telephone', 'inquiry', 'option', 'way', 'contact', 'person', 'information', 'need', 'website']",4.0,3.0,5.0
